Precinct Code,Contest Title,Candidate Name,Party Code,Votes
119,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,488
119,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,521
119,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,428
119,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,582
119,ACC Prop AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,539
119,ACC Prop AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,451
119,Attorney General,Jamar Osborne,GRN,13
119,Attorney General,Jamie Balagia,LIB,54
119,Attorney General,Ken Paxton,REP,599
119,Attorney General,Sam Houston,DEM,413
119,"Chief Justice, 3rd Court of Appeals Dist",Diane Henson,DEM,439
119,"Chief Justice, 3rd Court of Appeals Dist",Jeff Rose,REP,626
119,"Chief Justice, Supreme Court",Nathan Hecht,REP,594
119,"Chief Justice, Supreme Court",Tom Oxford,LIB,49
119,"Chief Justice, Supreme Court",William Moody,DEM,425
119,Commissioner of Agriculture,David (Rocky) Palmquist,LIB,52
119,Commissioner of Agriculture,Jim Hogan,DEM,400
119,Commissioner of Agriculture,Kenneth Kendrick,GRN,31
119,Commissioner of Agriculture,Sid Miller,REP,574
119,Commissioner of the General Land Office,George P. Bush,REP,616
119,Commissioner of the General Land Office,John Cook,DEM,402
119,Commissioner of the General Land Office,Justin Knight,LIB,36
119,Commissioner of the General Land Office,Valerie Alessi,GRN,22
119,Comptroller of Public Accounts,Ben Sanders,LIB,45
119,Comptroller of Public Accounts,Deb Shafto,GRN,21
119,Comptroller of Public Accounts,Glenn Hegar,REP,593
119,Comptroller of Public Accounts,Mike Collier,DEM,412
119,County Judge,Dan A. Gattis,REP,658
119,County Judge,Michael H. Custer,DEM,403
119,"District Judge, 277th Judicial District",Stacey Mathews,REP,690
119,"District Judge, 368th Judicial District",Rick J. Kennon,REP,677
119,Governor,Brandon Parmer,GRN,7
119,Governor,Greg Abbott,REP,603
119,Governor,Kathie Glass,LIB,19
119,Governor,Wendy R. Davis,DEM,459
119,Governor,WRITE-IN,NON,3
119,"Judge, Court of Criminal Appeals, Pl. 3",Bert Richardson,REP,603
119,"Judge, Court of Criminal Appeals, Pl. 3",John Granberg,DEM,414
119,"Judge, Court of Criminal Appeals, Pl. 3",Mark W. Bennett,LIB,44
119,"Judge, Court of Criminal Appeals, Pl. 4",Judith Sanders-Castro,GRN,158
119,"Judge, Court of Criminal Appeals, Pl. 4",Kevin Patrick Yeary,REP,638
119,"Judge, Court of Criminal Appeals, Pl. 4",Quanah Parker,LIB,134
119,"Judge, Court of Criminal Appeals, Pl. 9",David Newell,REP,657
119,"Judge, Court of Criminal Appeals, Pl. 9",George Joseph Altgelt,GRN,120
119,"Judge, Court of Criminal Appeals, Pl. 9","William Bryan Strange, III",LIB,139
119,"Justice of the Peace, Precinct No. 1",Dain Johnson,REP,651
119,"Justice of the Peace, Precinct No. 1",Nick Lealos,DEM,402
119,"Justice, Supreme Court, Place 6",Jeff Brown,REP,609
119,"Justice, Supreme Court, Place 6",Lawrence Edward Meyers,DEM,410
119,"Justice, Supreme Court, Place 6",Mark Ash,LIB,47
119,"Justice, Supreme Court, Place 7",Charles E. Waterbury,GRN,10
119,"Justice, Supreme Court, Place 7",Don Fulton,LIB,45
119,"Justice, Supreme Court, Place 7",Gina Benavides,DEM,417
119,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,597
119,"Justice, Supreme Court, Place 8",Jim Chisolm,GRN,133
119,"Justice, Supreme Court, Place 8",Phil Johnson,REP,650
119,"Justice, Supreme Court, Place 8",RS Roberto Koelsch,LIB,133
119,Lieutenant Governor,Chandrakantha Courtney,GRN,10
119,Lieutenant Governor,Dan Patrick,REP,596
119,Lieutenant Governor,Leticia Van de Putte,DEM,435
119,Lieutenant Governor,Robert D. Butler,LIB,44
119,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Mark J. Williams,NON,265
119,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Tim Mahoney,NON,287
119,"Place 1, Round Rock ISD Board of Trustee",Claudio Cruz,NON,274
119,"Place 1, Round Rock ISD Board of Trustee",Nikki Gonzales,NON,419
119,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Bob Allen,NON,144
119,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Gigi Edwards Bryant,NON,158
119,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jade Chang Sheppard,NON,90
119,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jonathan Mathers,NON,51
119,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Michael J. Lewis,NON,72
119,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Robb J. Misso,NON,29
119,"Place 3, Round Rock ISD Board of Trustee",Bryan Black,NON,262
119,"Place 3, Round Rock ISD Board of Trustee",Diane Cox,NON,436
119,"Place 5, Round Rock ISD Board of Trustee",Allen McKee,NON,226
119,"Place 5, Round Rock ISD Board of Trustee",Paul K. Emerson,NON,217
119,"Place 5, Round Rock ISD Board of Trustee",Suzi David,NON,228
119,"Place 6, Round Rock ISD Board of Trustee",Paul J. Tisch,NON,413
119,"Place 6, Round Rock ISD Board of Trustee",Tony A. Pitts,NON,234
119,Railroad Commissioner,Mark A. Miller,LIB,44
119,Railroad Commissioner,Martina Salinas,GRN,37
119,Railroad Commissioner,Ryan Sitton,REP,579
119,Railroad Commissioner,Steve Brown,DEM,407
119,"State Representative, District 52",Chris Osborn,DEM,422
119,"State Representative, District 52",Irene Johnson,LIB,43
119,"State Representative, District 52",Larry Gonzales,REP,607
119,"State Senator, District 5",Charles Schwertner,REP,602
119,"State Senator, District 5",Joel Shapiro,DEM,430
119,"State Senator, District 5",Matthew Whittington,LIB,42
119,STRAIGHT PARTY,DEMOCRATIC PARTY,DEM,200
119,STRAIGHT PARTY,GREEN PARTY,GRN,3
119,STRAIGHT PARTY,LIBERTARIAN PARTY,LIB,3
119,STRAIGHT PARTY,REPUBLICAN PARTY,REP,332
119,TX Prop 1,Against (En Contra),NON,258
119,TX Prop 1,For (A Favor),NON,692
119,United States Senator US REPRESENTATIVE DISTRICT 31,David M. Alameel,DEM,390
119,United States Senator US REPRESENTATIVE DISTRICT 31,"Emily ""Spicybrown"" Sanchez",GRN,20
119,United States Senator US REPRESENTATIVE DISTRICT 31,John Cornyn,REP,642
119,United States Senator US REPRESENTATIVE DISTRICT 31,Rebecca Paddock,LIB,32
119,United States Senator US REPRESENTATIVE DISTRICT 31,WRITE-IN,NON,0
119,"US Representative, District 31",John Carter,REP,643
119,"US Representative, District 31",Louie Minor,DEM,387
119,"US Representative, District 31",Scott J. Ballard,LIB,40
122,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,366
122,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,393
122,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,346
122,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,411
122,ACC Prop AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,432
122,ACC Prop AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,318
122,Attorney General,Jamar Osborne,GRN,8
122,Attorney General,Jamie Balagia,LIB,38
122,Attorney General,Ken Paxton,REP,484
122,Attorney General,Sam Houston,DEM,278
122,"Brushy Creek MUD, Director, Place 3",Jim Donaldson,NON,38
122,"Brushy Creek MUD, Director, Place 3",Kim Filiatrault,NON,34
122,"Chief Justice, 3rd Court of Appeals Dist",Diane Henson,DEM,281
122,"Chief Justice, 3rd Court of Appeals Dist",Jeff Rose,REP,507
122,"Chief Justice, Supreme Court",Nathan Hecht,REP,497
122,"Chief Justice, Supreme Court",Tom Oxford,LIB,35
122,"Chief Justice, Supreme Court",William Moody,DEM,267
122,Commissioner of Agriculture,David (Rocky) Palmquist,LIB,30
122,Commissioner of Agriculture,Jim Hogan,DEM,254
