Precinct_name,Contest_title,candidate_name,Party_Code,total_votes
101,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
101,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
101,"PROPOSITION, MANOR ISD",Against,,0
101,"PROPOSITION, MANOR ISD",For,,0
102,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
102,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
102,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
102,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
102,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
102,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
102,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
103,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
103,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
104,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
104,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
105,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
105,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
105,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
105,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
105,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
105,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
105,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
105,"PROPOSITION, MANOR ISD",Against,,0
105,"PROPOSITION, MANOR ISD",For,,0
106,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
106,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
106,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
106,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
106,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
106,"PROPOSITION, MANOR ISD",Against,,0
106,"PROPOSITION, MANOR ISD",For,,0
107,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
107,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
107,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
107,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
107,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
108,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
108,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
108,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
108,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
108,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
108,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
108,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
109,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
109,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
109,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
109,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
109,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
109,"PROPOSITION 1, CITY OF AUSTIN",Against the Ordinance,,0
109,"PROPOSITION 1, CITY OF AUSTIN",For the Ordinance,,0
110,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
110,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
110,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
110,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
110,"PLACE 5, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Carol L. Fletcher,,0
111,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Mario Acosta,,0
111,"PLACE 3, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Renae Mitchell,,0
111,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Matt Robertson,,0
111,"PLACE 4, BOARD OF TRUSTEES, PFLUGERVILLE ISD",Vernagene Mott,,0
